Topic,Data,TimeStamp
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:46.429000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:46.921000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:47.430000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:47.921000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:48.430000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:48.919000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:49.428000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:49.919000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:50.424000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:50.916000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:51.425000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:51.920000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:52.414000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:52.924000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:53.417000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:53.928000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:54.422000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:54.916000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:55.426000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:55.919000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:56.428000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:56.924000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-18 15:45:57.417000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:45:57.925000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:45:58.419000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:45:58.928000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:45:59.421000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:45:59.929000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:46:00.427000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:46:00.921000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-18 15:46:01.429000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-18 15:46:01.923000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-18 15:46:02.417000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-18 15:46:02.923000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-18 15:46:03.417000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-18 15:46:03.927000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-18 15:46:04.419000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-18 15:46:04.929000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-18 15:46:05.420000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-18 15:46:05.929000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-18 15:46:06.420000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-18 15:46:06.928000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-18 15:46:07.420000
perceptions,"position(2, 1) map(right) map(left) map(down) map(up) obstacle(left) ",2021-01-18 15:46:07.928000
perceptions,"position(2, 1) map(right) map(left) map(down) map(up) obstacle(left) ",2021-01-18 15:46:08.419000
perceptions,"position(2, 1) map(right) map(left) map(down) map(up) obstacle(left) ",2021-01-18 15:46:08.926000
perceptions,"position(2, 1) map(right) map(left) map(down) map(up) obstacle(left) ",2021-01-18 15:46:09.419000
perceptions,"position(3, 1) obstacle(right) map(left) map(down) map(up) obstacle(up) ",2021-01-18 15:46:09.928000
perceptions,"position(3, 1) obstacle(right) map(left) map(down) map(up) obstacle(up) ",2021-01-18 15:46:10.424000
perceptions,"position(3, 1) obstacle(right) map(left) map(down) map(up) obstacle(up) ",2021-01-18 15:46:10.917000
perceptions,"position(3, 1) obstacle(right) map(left) map(down) map(up) obstacle(up) ",2021-01-18 15:46:11.426000
perceptions,"position(3, 2) obstacle(right) map(left) map(down) map(up) ",2021-01-18 15:46:11.919000
perceptions,"position(3, 2) obstacle(right) map(left) map(down) map(up) ",2021-01-18 15:46:12.430000
perceptions,"position(3, 2) obstacle(right) map(left) map(down) map(up) ",2021-01-18 15:46:12.925000
perceptions,"position(3, 2) obstacle(right) map(left) map(down) map(up) ",2021-01-18 15:46:13.417000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:13.924000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:14.417000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:14.925000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:15.416000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:15.923000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:16.416000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:16.923000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:17.430000
perceptions,"position(3, 3) obstacle(right) map(left) obstacle(down) map(up) obstacle(left) ",2021-01-18 15:46:17.923000
