Topic,Data,TimeStamp
reasoningPerformance,495,2021-01-18 16:13:22.825000
reasoningPerformance,492,2021-01-18 16:13:23.317000
reasoningPerformance,508,2021-01-18 16:13:23.826000
reasoningPerformance,494,2021-01-18 16:13:24.319000
reasoningPerformance,491,2021-01-18 16:13:24.811000
reasoningPerformance,512,2021-01-18 16:13:25.323000
reasoningPerformance,494,2021-01-18 16:13:25.817000
reasoningPerformance,504,2021-01-18 16:13:26.322000
reasoningPerformance,498,2021-01-18 16:13:26.820000
reasoningPerformance,491,2021-01-18 16:13:27.312000
reasoningPerformance,508,2021-01-18 16:13:27.819000
reasoningPerformance,489,2021-01-18 16:13:28.309000
reasoningPerformance,555,2021-01-18 16:13:28.866000
reasoningPerformance,449,2021-01-18 16:13:29.315000
reasoningPerformance,504,2021-01-18 16:13:29.821000
reasoningPerformance,505,2021-01-18 16:13:30.326000
reasoningPerformance,493,2021-01-18 16:13:30.820000
reasoningPerformance,493,2021-01-18 16:13:31.314000
reasoningPerformance,508,2021-01-18 16:13:31.822000
reasoningPerformance,497,2021-01-18 16:13:32.320000
reasoningPerformance,496,2021-01-18 16:13:32.815000
reasoningPerformance,505,2021-01-18 16:13:33.322000
reasoningPerformance,487,2021-01-18 16:13:33.809000
reasoningPerformance,509,2021-01-18 16:13:34.319000
reasoningPerformance,506,2021-01-18 16:13:34.824000
reasoningPerformance,489,2021-01-18 16:13:35.317000
reasoningPerformance,499,2021-01-18 16:13:35.817000
reasoningPerformance,504,2021-01-18 16:13:36.322000
reasoningPerformance,491,2021-01-18 16:13:36.813000
reasoningPerformance,493,2021-01-18 16:13:37.309000
reasoningPerformance,508,2021-01-18 16:13:37.818000
reasoningPerformance,499,2021-01-18 16:13:38.317000
reasoningPerformance,493,2021-01-18 16:13:38.810000
reasoningPerformance,511,2021-01-18 16:13:39.324000
reasoningPerformance,491,2021-01-18 16:13:39.816000
reasoningPerformance,500,2021-01-18 16:13:40.317000
reasoningPerformance,510,2021-01-18 16:13:40.826000
reasoningPerformance,492,2021-01-18 16:13:41.321000
reasoningPerformance,490,2021-01-18 16:13:41.811000
reasoningPerformance,511,2021-01-18 16:13:42.323000
reasoningPerformance,494,2021-01-18 16:13:42.817000
reasoningPerformance,506,2021-01-18 16:13:43.326000
reasoningPerformance,486,2021-01-18 16:13:43.813000
reasoningPerformance,498,2021-01-18 16:13:44.312000
reasoningPerformance,509,2021-01-18 16:13:44.821000
reasoningPerformance,492,2021-01-18 16:13:45.316000
reasoningPerformance,494,2021-01-18 16:13:45.811000
reasoningPerformance,510,2021-01-18 16:13:46.322000
reasoningPerformance,489,2021-01-18 16:13:46.813000
reasoningPerformance,502,2021-01-18 16:13:47.317000
reasoningPerformance,495,2021-01-18 16:13:47.813000
reasoningPerformance,505,2021-01-18 16:13:48.319000
reasoningPerformance,487,2021-01-18 16:13:48.808000
reasoningPerformance,508,2021-01-18 16:13:49.317000
reasoningPerformance,498,2021-01-18 16:13:49.816000
reasoningPerformance,509,2021-01-18 16:13:50.326000
reasoningPerformance,490,2021-01-18 16:13:50.818000
reasoningPerformance,491,2021-01-18 16:13:51.310000
reasoningPerformance,506,2021-01-18 16:13:51.817000
reasoningPerformance,496,2021-01-18 16:13:52.314000
reasoningPerformance,503,2021-01-18 16:13:52.818000
reasoningPerformance,491,2021-01-18 16:13:53.309000
reasoningPerformance,511,2021-01-18 16:13:53.821000
