Topic,Data,TimeStamp
reasoningPerformance,3893,2021-01-19 14:52:39.830000
reasoningPerformance,485,2021-01-19 14:52:40.315000
reasoningPerformance,490,2021-01-19 14:52:40.806000
reasoningPerformance,512,2021-01-19 14:52:41.319000
reasoningPerformance,487,2021-01-19 14:52:41.805000
reasoningPerformance,508,2021-01-19 14:52:42.314000
reasoningPerformance,491,2021-01-19 14:52:42.806000
reasoningPerformance,512,2021-01-19 14:52:43.318000
reasoningPerformance,490,2021-01-19 14:52:43.808000
reasoningPerformance,509,2021-01-19 14:52:44.318000
reasoningPerformance,488,2021-01-19 14:52:44.806000
reasoningPerformance,507,2021-01-19 14:52:45.314000
reasoningPerformance,500,2021-01-19 14:52:45.814000
reasoningPerformance,506,2021-01-19 14:52:46.321000
reasoningPerformance,494,2021-01-19 14:52:46.815000
reasoningPerformance,19,2021-01-19 14:52:46.833000
reasoningPerformance,473,2021-01-19 14:52:47.306000
reasoningPerformance,512,2021-01-19 14:52:47.818000
reasoningPerformance,491,2021-01-19 14:52:48.309000
reasoningPerformance,508,2021-01-19 14:52:48.817000
reasoningPerformance,498,2021-01-19 14:52:49.316000
reasoningPerformance,490,2021-01-19 14:52:49.806000
reasoningPerformance,9,2021-01-19 14:52:49.815000
reasoningPerformance,502,2021-01-19 14:52:50.319000
reasoningPerformance,488,2021-01-19 14:52:50.808000
reasoningPerformance,509,2021-01-19 14:52:51.317000
reasoningPerformance,487,2021-01-19 14:52:51.805000
reasoningPerformance,510,2021-01-19 14:52:52.316000
reasoningPerformance,489,2021-01-19 14:52:52.805000
reasoningPerformance,504,2021-01-19 14:52:53.312000
reasoningPerformance,495,2021-01-19 14:52:53.808000
reasoningPerformance,505,2021-01-19 14:52:54.313000
reasoningPerformance,488,2021-01-19 14:52:54.804000
reasoningPerformance,508,2021-01-19 14:52:55.312000
reasoningPerformance,506,2021-01-19 14:52:55.819000
reasoningPerformance,492,2021-01-19 14:52:56.311000
reasoningPerformance,491,2021-01-19 14:52:56.805000
reasoningPerformance,511,2021-01-19 14:52:57.319000
reasoningPerformance,496,2021-01-19 14:52:57.816000
reasoningPerformance,500,2021-01-19 14:52:58.315000
reasoningPerformance,497,2021-01-19 14:52:58.814000
reasoningPerformance,492,2021-01-19 14:52:59.309000
reasoningPerformance,504,2021-01-19 14:52:59.814000
reasoningPerformance,497,2021-01-19 14:53:00.311000
reasoningPerformance,503,2021-01-19 14:53:00.817000
reasoningPerformance,492,2021-01-19 14:53:01.312000
reasoningPerformance,491,2021-01-19 14:53:01.804000
reasoningPerformance,508,2021-01-19 14:53:02.312000
reasoningPerformance,504,2021-01-19 14:53:02.819000
reasoningPerformance,494,2021-01-19 14:53:03.312000
reasoningPerformance,494,2021-01-19 14:53:03.807000
reasoningPerformance,505,2021-01-19 14:53:04.312000
reasoningPerformance,503,2021-01-19 14:53:04.818000
reasoningPerformance,493,2021-01-19 14:53:05.313000
reasoningPerformance,496,2021-01-19 14:53:05.809000
reasoningPerformance,505,2021-01-19 14:53:06.314000
reasoningPerformance,493,2021-01-19 14:53:06.809000
reasoningPerformance,505,2021-01-19 14:53:07.316000
reasoningPerformance,493,2021-01-19 14:53:07.810000
reasoningPerformance,497,2021-01-19 14:53:08.308000
reasoningPerformance,506,2021-01-19 14:53:08.817000
reasoningPerformance,486,2021-01-19 14:53:09.306000
reasoningPerformance,513,2021-01-19 14:53:09.818000
reasoningPerformance,486,2021-01-19 14:53:10.305000
reasoningPerformance,511,2021-01-19 14:53:10.816000
reasoningPerformance,487,2021-01-19 14:53:11.304000
reasoningPerformance,514,2021-01-19 14:53:11.819000
reasoningPerformance,496,2021-01-19 14:53:12.314000
reasoningPerformance,508,2021-01-19 14:53:12.825000
reasoningPerformance,492,2021-01-19 14:53:13.317000
reasoningPerformance,501,2021-01-19 14:53:13.817000
reasoningPerformance,489,2021-01-19 14:53:14.307000
