Topic,Data,TimeStamp
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:21.553000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:22.045000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:22.538000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:23.049000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:23.544000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:24.053000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:24.544000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:25.040000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:25.547000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:26.043000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:26.548000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:27.041000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:27.548000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:28.040000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:28.546000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:29.040000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:29.548000
perceptions,"path([a,e,i,m,n,o,k,g,h,d])",2021-01-20 10:19:29.567000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:30.042000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:30.550000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:31.043000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:31.537000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:32.043000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:32.550000
perceptions,"path([a,e,i,m,n,o,k,g,h,d])",2021-01-20 10:19:32.566000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:33.041000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:33.550000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:34.041000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:34.550000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:35.039000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:35.548000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:36.040000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:36.548000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:37.040000
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-01-20 10:19:37.549000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:38.043000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:38.538000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:39.047000
perceptions,"position(0, 2) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:39.541000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:40.051000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:40.547000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:41.041000
perceptions,"position(0, 1) map(right) obstacle(left) map(down) map(up) obstacle(right) ",2021-01-20 10:19:41.548000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-20 10:19:42.041000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-20 10:19:42.549000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-20 10:19:43.043000
perceptions,"position(0, 0) map(right) obstacle(left) map(down) obstacle(up) ",2021-01-20 10:19:43.537000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-20 10:19:44.044000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-20 10:19:44.552000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-20 10:19:45.045000
perceptions,"position(1, 0) map(right) map(left) map(down) obstacle(up) obstacle(down) ",2021-01-20 10:19:45.538000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-20 10:19:46.044000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-20 10:19:46.540000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-20 10:19:47.047000
perceptions,"position(2, 0) map(right) map(left) map(down) obstacle(up) obstacle(right) ",2021-01-20 10:19:47.542000
