Topic,Data,TimeStamp
reasoningPerformance,148,2021-01-19 14:34:28.809000
reasoningPerformance,493,2021-01-19 14:34:29.303000
reasoningPerformance,494,2021-01-19 14:34:29.798000
reasoningPerformance,508,2021-01-19 14:34:30.307000
reasoningPerformance,494,2021-01-19 14:34:30.801000
reasoningPerformance,504,2021-01-19 14:34:31.309000
reasoningPerformance,492,2021-01-19 14:34:31.801000
reasoningPerformance,508,2021-01-19 14:34:32.309000
reasoningPerformance,490,2021-01-19 14:34:32.799000
reasoningPerformance,499,2021-01-19 14:34:33.298000
reasoningPerformance,511,2021-01-19 14:34:33.810000
reasoningPerformance,493,2021-01-19 14:34:34.311000
reasoningPerformance,498,2021-01-19 14:34:34.814000
reasoningPerformance,486,2021-01-19 14:34:35.300000
reasoningPerformance,489,2021-01-19 14:34:35.792000
reasoningPerformance,506,2021-01-19 14:34:36.298000
reasoningPerformance,502,2021-01-19 14:34:36.800000
reasoningPerformance,510,2021-01-19 14:34:37.310000
reasoningPerformance,493,2021-01-19 14:34:37.806000
reasoningPerformance,491,2021-01-19 14:34:38.297000
reasoningPerformance,512,2021-01-19 14:34:38.810000
reasoningPerformance,489,2021-01-19 14:34:39.299000
reasoningPerformance,495,2021-01-19 14:34:39.794000
reasoningPerformance,510,2021-01-19 14:34:40.309000
reasoningPerformance,488,2021-01-19 14:34:40.798000
reasoningPerformance,498,2021-01-19 14:34:41.295000
reasoningPerformance,508,2021-01-19 14:34:41.805000
reasoningPerformance,500,2021-01-19 14:34:42.305000
reasoningPerformance,494,2021-01-19 14:34:42.800000
reasoningPerformance,490,2021-01-19 14:34:43.290000
reasoningPerformance,503,2021-01-19 14:34:43.796000
reasoningPerformance,493,2021-01-19 14:34:44.290000
reasoningPerformance,510,2021-01-19 14:34:44.800000
reasoningPerformance,498,2021-01-19 14:34:45.298000
reasoningPerformance,507,2021-01-19 14:34:45.808000
reasoningPerformance,488,2021-01-19 14:34:46.297000
reasoningPerformance,500,2021-01-19 14:34:46.799000
reasoningPerformance,508,2021-01-19 14:34:47.306000
reasoningPerformance,488,2021-01-19 14:34:47.797000
reasoningPerformance,507,2021-01-19 14:34:48.305000
reasoningPerformance,495,2021-01-19 14:34:48.800000
reasoningPerformance,506,2021-01-19 14:34:49.308000
reasoningPerformance,489,2021-01-19 14:34:49.800000
reasoningPerformance,505,2021-01-19 14:34:50.307000
reasoningPerformance,490,2021-01-19 14:34:50.796000
reasoningPerformance,502,2021-01-19 14:34:51.300000
reasoningPerformance,499,2021-01-19 14:34:51.799000
reasoningPerformance,506,2021-01-19 14:34:52.306000
reasoningPerformance,495,2021-01-19 14:34:52.801000
reasoningPerformance,494,2021-01-19 14:34:53.295000
reasoningPerformance,492,2021-01-19 14:34:53.790000
reasoningPerformance,506,2021-01-19 14:34:54.297000
reasoningPerformance,495,2021-01-19 14:34:54.792000
reasoningPerformance,511,2021-01-19 14:34:55.307000
reasoningPerformance,488,2021-01-19 14:34:55.796000
reasoningPerformance,509,2021-01-19 14:34:56.306000
reasoningPerformance,492,2021-01-19 14:34:56.799000
reasoningPerformance,499,2021-01-19 14:34:57.299000
reasoningPerformance,510,2021-01-19 14:34:57.809000
reasoningPerformance,492,2021-01-19 14:34:58.302000
reasoningPerformance,491,2021-01-19 14:34:58.793000
reasoningPerformance,509,2021-01-19 14:34:59.306000
reasoningPerformance,492,2021-01-19 14:34:59.796000
reasoningPerformance,511,2021-01-19 14:35:00.307000
reasoningPerformance,486,2021-01-19 14:35:00.794000
reasoningPerformance,508,2021-01-19 14:35:01.304000
reasoningPerformance,493,2021-01-19 14:35:01.798000
