Topic,Data,TimeStamp
outbox,"<mid2,0,tell,BROADCAST,navigate(gettingRoute(d))>",2021-01-19 14:33:08.993000
outbox,"<mid3,0,tell,BROADCAST,navigate(current(a))>",2021-01-19 14:33:09.480000
outbox,"<mid4,0,tell,BROADCAST,navigate(route([e,i,m,n,o,k,g,h,d]),d)>",2021-01-19 14:33:10.493000
outbox,"<mid5,0,tell,BROADCAST,waypoint(move(up))>",2021-01-19 14:33:12.497000
outbox,"<mid6,0,tell,BROADCAST,waypoint(move(up))>",2021-01-19 14:33:14.484000
outbox,"<mid7,0,tell,BROADCAST,waypoint(move(up))>",2021-01-19 14:33:16.490000
outbox,"<mid8,0,tell,BROADCAST,waypoint(move(right))>",2021-01-19 14:33:18.489000
outbox,"<mid9,0,tell,BROADCAST,waypoint(move(right))>",2021-01-19 14:33:20.489000
outbox,"<mid10,0,tell,BROADCAST,waypoint(move(down))>",2021-01-19 14:33:22.490000
outbox,"<mid11,0,tell,BROADCAST,waypoint(move(down))>",2021-01-19 14:33:24.489000
outbox,"<mid12,0,tell,BROADCAST,waypoint(move(right))>",2021-01-19 14:33:26.487000
outbox,"<mid13,0,tell,BROADCAST,waypoint(move(down))>",2021-01-19 14:33:28.488000
outbox,"<mid14,0,tell,BROADCAST,navigate(arrived(d))>",2021-01-19 14:33:29.994000
